School,Conference
florida-am,Mid-Eastern Athletic Conference
bethune-cookman,Mid-Eastern Athletic Conference
maryland-eastern-shore,Mid-Eastern Athletic Conference
coppin-state,Mid-Eastern Athletic Conference
morgan-state,Mid-Eastern Athletic Conference
southern-illinois,Missouri Valley Conference
creighton,Missouri Valley Conference
illinois-state,Missouri Valley Conference
missouri-state,Missouri Valley Conference
wichita-state,Missouri Valley Conference
drake,Missouri Valley Conference
northern-iowa,Missouri Valley Conference
bradley,Missouri Valley Conference
evansville,Missouri Valley Conference
indiana-state,Missouri Valley Conference
wyoming,Mountain West Conference
utah,Mountain West Conference
nevada-las-vegas,Mountain West Conference
brigham-young,Mountain West Conference
san-diego-state,Mountain West Conference
new-mexico,Mountain West Conference
colorado-state,Mountain West Conference
air-force,Mountain West Conference
central-connecticut-state,Northeast Conference
wagner,Northeast Conference
maryland-baltimore-county,Northeast Conference
monmouth,Northeast Conference
st-francis-ny,Northeast Conference
robert-morris,Northeast Conference
quinnipiac,Northeast Conference
sacred-heart,Northeast Conference
saint-francis-pa,Northeast Conference
long-island-university,Northeast Conference
fairleigh-dickinson,Northeast Conference
mount-st-marys,Northeast Conference
tennessee-tech,Ohio Valley Conference
morehead-state,Ohio Valley Conference
murray-state,Ohio Valley Conference
austin-peay,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
eastern-illinois,Ohio Valley Conference
tennessee-state,Ohio Valley Conference
southeast-missouri-state,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
american,Patriot League
holy-cross,Patriot League
bucknell,Patriot League
colgate,Patriot League
lafayette,Patriot League
army,Patriot League
navy,Patriot League
lehigh,Patriot League
georgia,Southeastern Conference
kentucky,Southeastern Conference
florida,Southeastern Conference
tennessee,Southeastern Conference
vanderbilt,Southeastern Conference
south-carolina,Southeastern Conference
alabama,Southeastern Conference
mississippi-state,Southeastern Conference
mississippi,Southeastern Conference
louisiana-state,Southeastern Conference
arkansas,Southeastern Conference
auburn,Southeastern Conference
davidson,Southern Conference
north-carolina-greensboro,Southern Conference
east-tennessee-state,Southern Conference
western-carolina,Southern Conference
appalachian-state,Southern Conference
virginia-military-institute,Southern Conference
college-of-charleston,Southern Conference
georgia-southern,Southern Conference
chattanooga,Southern Conference
citadel,Southern Conference
furman,Southern Conference
wofford,Southern Conference
mcneese-state,Southland Conference
louisiana-monroe,Southland Conference
texas-san-antonio,Southland Conference
lamar,Southland Conference
stephen-f-austin,Southland Conference
texas-state,Southland Conference
sam-houston-state,Southland Conference
texas-arlington,Southland Conference
northwestern-state,Southland Conference
southeastern-louisiana,Southland Conference
nicholls-state,Southland Conference
western-kentucky,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
middle-tennessee,Sun Belt Conference
arkansas-state,Sun Belt Conference
florida-international,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
new-mexico-state,Sun Belt Conference
new-orleans,Sun Belt Conference
north-texas,Sun Belt Conference
denver,Sun Belt Conference
south-alabama,Sun Belt Conference
alcorn-state,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
alabama-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
grambling,Southwest Athletic Conference
southern,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
hawaii,Western Athletic Conference
tulsa,Western Athletic Conference
louisiana-tech,Western Athletic Conference
southern-methodist,Western Athletic Conference
nevada,Western Athletic Conference
fresno-state,Western Athletic Conference
boise-state,Western Athletic Conference
rice,Western Athletic Conference
san-jose-state,Western Athletic Conference
texas-el-paso,Western Athletic Conference
pepperdine,West Coast Conference
gonzaga,West Coast Conference
santa-clara,West Coast Conference
san-francisco,West Coast Conference
san-diego,West Coast Conference
saint-marys-ca,West Coast Conference
loyola-marymount,West Coast Conference
portland,West Coast Conference
texas-pan-american,Independent
centenary-la,Independent
morris-brown,Independent
