School,Conference
tennessee-state,Ohio Valley Conference
morehead-state,Ohio Valley Conference
tennessee-martin,Ohio Valley Conference
eastern-kentucky,Ohio Valley Conference
holy-cross,Patriot League
navy,Patriot League
colgate,Patriot League
lehigh,Patriot League
lafayette,Patriot League
bucknell,Patriot League
army,Patriot League
kentucky,Southeastern Conference
florida,Southeastern Conference
georgia,Southeastern Conference
tennessee,Southeastern Conference
south-carolina,Southeastern Conference
vanderbilt,Southeastern Conference
mississippi,Southeastern Conference
arkansas,Southeastern Conference
alabama,Southeastern Conference
mississippi-state,Southeastern Conference
auburn,Southeastern Conference
louisiana-state,Southeastern Conference
east-tennessee-state,Southern Conference
north-carolina-greensboro,Southern Conference
davidson,Southern Conference
appalachian-state,Southern Conference
virginia-military-institute,Southern Conference
western-carolina,Southern Conference
college-of-charleston,Southern Conference
citadel,Southern Conference
chattanooga,Southern Conference
georgia-southern,Southern Conference
wofford,Southern Conference
furman,Southern Conference
mcneese-state,Southland Conference
nicholls-state,Southland Conference
texas-san-antonio,Southland Conference
northwestern-state,Southland Conference
sam-houston-state,Southland Conference
texas-arlington,Southland Conference
texas-state,Southland Conference
louisiana-monroe,Southland Conference
lamar,Southland Conference
stephen-f-austin,Southland Conference
southeastern-louisiana,Southland Conference
western-kentucky,Sun Belt Conference
arkansas-state,Sun Belt Conference
louisiana-tech,Sun Belt Conference
arkansas-little-rock,Sun Belt Conference
florida-international,Sun Belt Conference
middle-tennessee,Sun Belt Conference
south-alabama,Sun Belt Conference
louisiana-lafayette,Sun Belt Conference
new-orleans,Sun Belt Conference
new-mexico-state,Sun Belt Conference
denver,Sun Belt Conference
north-texas,Sun Belt Conference
alabama-state,Southwest Athletic Conference
mississippi-valley-state,Southwest Athletic Conference
alabama-am,Southwest Athletic Conference
alcorn-state,Southwest Athletic Conference
southern,Southwest Athletic Conference
grambling,Southwest Athletic Conference
jackson-state,Southwest Athletic Conference
texas-southern,Southwest Athletic Conference
prairie-view,Southwest Athletic Conference
arkansas-pine-bluff,Southwest Athletic Conference
fresno-state,Western Athletic Conference
tulsa,Western Athletic Conference
texas-el-paso,Western Athletic Conference
texas-christian,Western Athletic Conference
hawaii,Western Athletic Conference
southern-methodist,Western Athletic Conference
san-jose-state,Western Athletic Conference
rice,Western Athletic Conference
nevada,Western Athletic Conference
gonzaga,West Coast Conference
pepperdine,West Coast Conference
santa-clara,West Coast Conference
san-diego,West Coast Conference
san-francisco,West Coast Conference
loyola-marymount,West Coast Conference
portland,West Coast Conference
saint-marys-ca,West Coast Conference
stony-brook,Independent
belmont,Independent
texas-pan-american,Independent
centenary-la,Independent
albany-ny,Independent
